This is sample data with 3 free parameters.
FIT par3
LOWER_LIMITS  14.1 0.6 2.20
UPPER_LIMITS  14.3 1.4 2.35
PLOT 2d
DATA_TYPE chisq
x y z value
14.19 1.0 2.29  379.030181
14.19 1.0 2.3  436.670314
14.19 1.0 2.35  521.215326
14.19 1.0 2.4  679.926853
14.19 1.0 2.5  1268.469010
14.19 1.1 2.24  337.696990
14.19 1.1 2.25  376.505321
14.19 1.1 2.26  537.617350
14.19 1.1 2.27  545.064779
14.19 1.1 2.28  465.377761
14.19 1.1 2.29  436.153652
14.19 1.1 2.3  359.835577
14.19 1.2 2.24  654.898088
14.19 1.2 2.25  560.908065
14.19 1.2 2.26  552.125157
14.19 1.2 2.27  708.664091
14.19 1.2 2.28  706.429273
14.19 1.2 2.29  802.037098
14.19 1.2 2.3  787.708872
14.19 1.3 2.24  1157.613747
14.19 1.3 2.25  1151.312114
14.19 1.3 2.26  1058.778538
14.19 1.3 2.27  1091.528586
14.19 1.3 2.28  1130.383107
14.19 1.3 2.29  1393.645948
14.19 1.3 2.3  1042.758382
14.2 0.6 2.05  3467.813570
14.2 0.6 2.1  2889.545550
14.2 0.6 2.15  2658.948708
14.2 0.6 2.2  1971.313184
14.2 0.6 2.22  1983.981993
14.2 0.6 2.23  2025.225207
14.2 0.6 2.35  1312.792444
14.2 0.6 2.4  1271.455082
14.2 0.6 2.5  1454.409236
14.2 0.7 2.05  2835.991131
14.2 0.7 2.1  2019.870788
14.2 0.7 2.15  1672.118083
14.2 0.7 2.2  1763.118909
14.2 0.7 2.22  1182.662475
14.2 0.7 2.23  1320.434107
14.2 0.7 2.24  1388.850286
14.2 0.7 2.25  1096.020898
14.2 0.7 2.26  1275.004566
14.2 0.7 2.27  915.211410
14.2 0.7 2.28  964.856799
14.2 0.7 2.29  1027.929115
14.2 0.7 2.3  968.650522
14.2 0.7 2.35  919.084351
14.2 0.7 2.4  872.125561
14.2 0.7 2.5  1132.339330
14.2 0.8 2.05  2158.715653
14.2 0.8 2.1  1681.345437
14.2 0.8 2.15  1517.860722
14.2 0.8 2.2  905.460088
14.2 0.8 2.22  817.739843
14.2 0.8 2.23  904.437807
14.2 0.8 2.24  759.860955
14.2 0.8 2.25  764.131901
14.2 0.8 2.26  734.963448
14.2 0.8 2.27  626.746002
14.2 0.8 2.28  777.617246
14.2 0.8 2.29  718.126773
14.2 0.8 2.3  821.001688
14.2 0.8 2.35  618.878272
14.2 0.8 2.4  714.128842
14.2 0.8 2.5  1092.811934
14.2 0.9 2.05  1487.746448
