FIT 2parpoly3
PLOT 2d
LOWER_LIMITS  0 0
UPPER_LIMITS  1000 500
REFIT_FILTER 5
DATA_UPPER_LIMIT  220
DATA_TYPE chisq
340 20 205.555976721081009
340 200 207.768232862081589
340 220 206.642709286714222
340 240 207.385302245013236
340 260 205.841191985157025
340 280 206.003214366978966
340 300 206.634298650678318
340 320 204.465702872870907
340 340 203.862028074541001
340 360 204.841928319079756
340 380 205.254267626084697
340 40 207.262238996257651
340 400 206.197873461623431
340 420 205.636807140552747
340 440 207.713049598051811
340 460 205.371415688432052
340 480 209.528742875187703
340 500 207.588429279252239
340 520 210.241414239606939
340 540 208.524188895742753
340 560 210.139748388744238
340 580 206.005770605939631
340 60 206.679922057453808
340 600 207.862666804651752
340 640 207.095528266432098
340 680 204.570523695225631
340 720 207.838858155347424
340 760 207.949367172558908
340 80 205.769393247698133
340 800 209.539661151706810
360 1 204.123503539922581
360 100 204.056866331504096
360 120 203.490665800925115
360 140 203.607862706142100
360 160 202.135913708201798
360 180 205.115055106275321
360 20 203.925438067041398
360 200 206.307717203008082
360 220 205.085269245594787
360 240 205.683278928449454
360 260 204.139193109134567
360 280 204.435732137607545
360 300 204.865336961485980
360 320 202.802691910611117
360 340 202.155938562702289
360 360 202.969370195207517
360 380 203.495406904947032
360 40 205.766164317055654
360 400 204.298803479957911
360 420 203.784462441226907
360 440 205.654404665680374
360 460 203.553070570124049
360 480 207.233582331500429
360 500 205.800419006871010
360 520 207.718847317946427
360 540 206.267039631549068
360 560 207.985535166158797
360 580 203.888482569599518
360 60 204.056743084918054
360 600 205.472392524099462
360 640 205.031972394077712
360 680 202.640569904839168
360 720 205.326960706538074
360 760 205.370357595272594
360 80 204.112639633023747
360 800 207.210892297130613
380 1 205.325074878555313
380 100 205.973418921653348
380 120 204.814713880553512
380 140 205.462149743744845
380 160 203.273076793720122
380 180 206.019835406383294
380 20 205.137054345270599
380 200 207.619610695580491
380 220 205.876599369880779
380 240 206.905470823319405
380 260 204.929786077689357
380 280 205.269190975065641
380 300 205.787106969158202
380 320 203.703609227309954
380 340 202.869578674966107
380 360 204.096000924827450
380 380 204.405966025312182
380 40 206.831477910946006
380 400 204.922575546526502
380 420 204.345147180987482
380 440 206.592568221876263
380 460 204.407608855135180
380 480 207.980737814939260
380 500 206.474832606898588
380 520 208.392752321404430
380 540 206.511799639981149
380 560 208.624038691977233
380 580 204.439005627482459
380 60 205.234946754073462
380 600 206.254678710229143
380 640 205.739812088333565
380 680 203.720579416369958
380 720 206.243518574060772
380 760 206.262533255477422
380 80 205.203546885867695
380 800 208.075810939743803
40 1 207.182163662243624
40 100 205.441359796233797
40 120 204.243661132276088
40 140 203.045498190317460
40 160 201.025707595827640
40 180 205.513971454789214
40 20 206.264348874751875
40 200 206.764097254120543
40 220 205.304650602021979
40 240 206.155298053242774
40 260 204.347443930763859
40 280 204.363875359706952
40 300 205.655550888981594
40 320 202.139139172464809
40 340 201.967342807348132
40 360 202.978538890612555
